Subset,Model,RMSE,R2,Score,Best_Ep
FD001,Bi-LSTM ES,13.2306,0.8019,35646.4,11
FD001,Transformer ES,13.5555,0.7921,43847.9,9
FD001,Basit Ensemble,13.1041,0.8057,36731.5,—
FD001,GRU Stacking,13.2468,0.8014,40448.6,3
FD002,Bi-LSTM ES,19.7988,0.5919,371749.2,7
FD002,Transformer ES,16.7894,0.7065,202750.9,35
FD002,Basit Ensemble,16.6965,0.7098,191296.5,—
FD002,GRU Stacking,16.7649,0.7074,193635.4,1
FD003,Bi-LSTM ES,11.1616,0.8237,60893.8,11
FD003,Transformer ES,10.6845,0.8385,35424.7,21
FD003,Basit Ensemble,10.431,0.8461,36936.3,—
FD003,GRU Stacking,10.5438,0.8427,34180.0,8
FD004,Bi-LSTM ES,18.4406,0.5442,648537.6,4
FD004,Transformer ES,16.3666,0.6409,684659.6,29
FD004,Basit Ensemble,16.2387,0.6465,602023.8,—
FD004,GRU Stacking,16.2576,0.6457,668980.0,2
