Sensor,Mean_Abs_SHAP,Rank
s11,4.2681510745485625,1
s4,2.7643938956262235,2
s17,1.706044559876124,3
s9,1.5933173430648944,4
s21,1.2769077981449664,5
s6,1.2556466850141683,6
s3,0.8170032596091429,7
s14,0.7617999858160813,8
s2,0.6826181337827196,9
op2,0.6050986079623302,10
s20,0.4416068653079371,11
s7,0.4375080348054568,12
s15,0.4279409764148295,13
s12,0.4269608666499456,14
s8,0.17611596606050928,15
s13,0.13071645062416792,16
op1,0.13004510431725066,17
s10,0.03521756605555614,18
s19,0.0,19
s18,0.0,20
s5,0.0,21
op3,0.0,22
s1,0.0,23
