Method,Year,FD001,FD002,FD003,FD004
MLP,2016,37.56,80.03,37.39,77.37
SVR,2016,20.96,42.0,21.05,45.35
CNN,2016,18.45,30.29,19.82,29.19
LSTM,2017,16.14,24.49,16.18,28.17
LSTM,2018,16.74,29.43,18.07,28.4
BiLSTM,2018,13.65,23.18,13.74,24.86
DCNN,2018,12.61,,12.64,
BLCNN (Enc-Dec),2019,13.18,19.09,13.75,20.97
Bi-level LSTM,2019,11.67,,12.42,
DAG,2019,11.96,20.34,12.46,22.43
Noise-Boost LSTM,2020,13.53,20.15,14.37,23.73
Fusion BiLSTM+MSCNN,2020,12.75,22.46,11.35,24.1
Multi-head CNN+LSTM,2020,12.19,19.93,12.85,22.89
AGCNN,2020,12.42,19.43,13.39,21.5
LSTM+FCLCNN,2021,11.17,,9.99,
Seq2Seq+Attention,2021,12.5,17.9,12.0,19.6
BLS+TCN,2022,12.08,16.87,11.43,18.12
BiLSTM+Attention[69],2022,13.78,15.94,14.36,16.96
Bu Çalışma (BiLSTM+Attn+ClusterNorm+PhysLoss+GRUMeta),2024,12.57264110365396,15.230261363681672,10.345623664918094,13.876992022508821
